###OVERALL POINTS LEADERS - Who has scored the most points this season?
**Rank**|**LEAGUE**|**TEAM**|**PF**|**W-1**|**W-2**|**W-3**|**W-4**|**W-5**|**W-6**|**W-7**|**W-8**|**W-9**|**W-10**|**W-11**
:-:|:-:|:-:|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--
168|Yzerman|Reggie Dunlop's Puck Bunny Fantasy Team|1927.15|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
169|Sakic|Turris Trap|1923.4|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
170|Lemieux|THIS TEAM SUCKS|1923.25|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
171|Bourque|More Power Plays Please|1922.4|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
172|Messier|The Unknowns|1908.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
173|Roy|Already Gonchar|1898.05|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
174|Western|Kneel Before Saad|1895.3|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
175|Bourque|Stupid Sexy Henrik|1890.95|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
176|Roy|ELB95|1864.45|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
177|Jagr|Tatar Sauce|1855.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
178|Bourque|Are You MacKidding Me?|1848.75|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
179|Eastern|Carl Seguin|1841.4|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
180|Jagr|Ig It to Wig It|1837.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
181|Eastern|Cool Story Brodeur|1820.65|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
182|Howe|Dusters|1807.5|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
183|Jagr|Oshie's Eleven|1787.9|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
184|Jagr|Teemu's Salami|1785.35|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR|NR
